Entry ID,Jurisdiction,Intervention category,Intervention type,Description,Organization,Date
"CAN054","Canada","Health workforce","Supply management","Deployment of Canadian Rangers to Inuit communities in northern Quebec announced","Prime Minister, Government of Canada, Canadian Armed Forces","April  3, 2020"
"CAN104","Canada","Health workforce","Supply management","Deployment of Canadian Ranger Patrol in 27 Quebec communities announced","Government of Canada","April  3, 2020"
"CAN181","Canada","Health workforce","Supply management","Deployment of Canadian Rangers to communities in Saskatchewan, northern Ontario, B.C., Yukon, Northwest Territories announced","Government of Canada","April  5, 2020"
"CAN057","Canada","Travel","Restrictions","Restrictions on commercial marine activity announced","Transport Canada","April  6, 2020"
"CAN006","Canada","Public information","Masks","Recommendation for the use of face masks issued","Public Health Agency of Canada","April  7, 2020"
"BC055","British Columbia","Closures/openings","Recreation","Provincial parks closed","Ministry of Environment and Climate Change","April  8, 2020"
"BC057","British Columbia","Travel","Self-isolation","Mandatory 14-day self-isolation for those returning from international travel announced","Government of British Columbia","April  8, 2020"
"BC004","British Columbia","Health workforce","Change in practice","Order for single-site working issued","Minister of Public Safety","April 10, 2020"
"BC063","British Columbia","Public information","Masks","Recommendation for the use of face masks issued","Provincial Health Officer","April 10, 2020"
"CAN014","Canada","Travel","Self-isolation","Requirement of a quarantine plan for all returning international travellers prior to entry announced","Prime Minister","April 15, 2020"
"CAN183","Canada","Health workforce","Safety guidelines","Guidance for health workers in acute health care settings published","Government of Canada","April 15, 2020"
"BC477","British Columbia","Closures/openings","Non-essential services","Retail liquor store hours temporarily extended to 7 a.m. to 11 p.m.","Government of British Columbia","April 15, 2020"
"CAN020","Canada","Public information","Masks","Mandatory use of face coverings for all air and rail passengers announced","Transport Canada","April 17, 2020"
"CAN102","Canada","Health workforce","Supply management","Deployment of Canadian Armed Forces to support long-term care facilities in Quebec announced","Government of Canada","April 20, 2020"
"CAN091","Canada","Health workforce","Supply management","Restriction on international students working beyond 20 hours per week in essential service lifted","Immigration, Refugees and Citizenship Canada","April 22, 2020"
"BC126","British Columbia","Health workforce","Safety guidelines","Lowered testing threshold to increase case finding and contact tracing announced","Ministry of Health, Provincial Health Officer","April 24, 2020"
"CAN111","Canada","Health workforce","Change in practice","Directive for health care providers not to prescribe unproven therapies issued","Health Canada","April 25, 2020"
"BC112","British Columbia","Closures/openings","Non-essential services","Food trucks allowed to operate to support commercial truck drivers","BC Ministry of Transportation and Infrastructure","April 28, 2020"
"CAN103","Canada","Health workforce","Supply management","Deployment of Canadian Armed Forces to support long-term care facilities in Ontario announced","Government of Canada","April 28, 2020"
"CAN098","Canada","Health services","Telemedicine/virtual care","Investment of $240.5 million in virtual care and mental health tools announced","Prime Minister","May  3, 2020"
"BC128","British Columbia","Public information","Pandemic response plans","BC's Restart Plan for reopening province released","Government of British Columbia","May  6, 2020"
"CAN113","Canada","Health workforce","Supply management","Essential health service personnel deployed to remote First Nations communities in Ontario, Manitoba and Alberta","Indigenous Services Canada","May 10, 2020"
"CAN116","Canada","Case management","Other","Use of 1st COVID-19 serological test authorized","Health Canada","May 12, 2020"
"BC133","British Columbia","Closures/openings","Recreation","Provincial parks for day use reopened","Government of British Columbia","May 14, 2020"
"BC155","British Columbia","Health workforce","Change in practice","Requirement for licensed practical nurses to have a client-specific order prior to performing nasopharyngeal swabs removed","British Columbia College of Nursing Professionals","May 14, 2020"
"BC153","British Columbia","Health workforce","Safety guidelines","Guidance for physicians on provision of in-person community care during COVID-19 published","College of Physicians and Surgeons of British Columbia","May 15, 2020"
"BC129","British Columbia","Health services","Delayed/resumed medical procedures","Elective surgeries resumed","Government of British Columbia","May 18, 2020"
"BC135","British Columbia","Closures/openings","Non-essential services","Non-essential businesses reopened","Government of British Columbia","May 19, 2020"
"BC142","British Columbia","Health services","Visitors","Restrictions on essential visitors to hospitals relaxed","Government of British Columbia, Provincial Health Officer","May 19, 2020"
"BC144","British Columbia","Closures/openings","Health services","Easing of non-essential health care services restrictions began","Office of the Provincial Health Officer","May 19, 2020"
"BC145","British Columbia","Health workforce","Safety guidelines","Guidance on providing in-person community care for audiologists and speech–language pathologists published","College of Speech and Hearing Health Professionals of British Columbia","May 19, 2020"
"BC146","British Columbia","Health workforce","Safety guidelines","Guidance on safe reopening for chiropractors published","College of Chiropractors of British Columbia","May 19, 2020"
"BC147","British Columbia","Health workforce","Safety guidelines","Guidance on safe reopening for dental assistants, dental hygienists and dentists published","College of Dental Surgeons of British Columbia","May 19, 2020"
"BC148","British Columbia","Health workforce","Safety guidelines","Guidance on safe reopening for dietitians published","College of Dietitians of British Columbia","May 19, 2020"
"BC149","British Columbia","Health workforce","Safety guidelines","Guidance on safe reopening of in-person practice for nursing professionals published","British Columbia College of Nursing Professionals","May 19, 2020"
"BC150","British Columbia","Health workforce","Safety guidelines","Guidance for safe reopening of in-person community care for midwives published","College of Midwives of British Columbia","May 19, 2020"
"BC151","British Columbia","Health workforce","Safety guidelines","Guidance for safe reopening of in-person practice for optometrists published","College of Optometrists of British Columbia","May 19, 2020"
"BC154","British Columbia","Health workforce","Safety guidelines","Guidance on safe reopening for physiotherapists published","College of Physical Therapists of British Columbia","May 19, 2020"
"BC166","British Columbia","Public information","Phase and alert level changes","All regions entered Phase 2 of reopening plan","Government of British Columbia","May 19, 2020"
"BC333","British Columbia","Health workforce","Safety guidelines","Released Infection Prevention and Control Protocol for Obstetrical Procedures During COVID-19 with guidance for surgical risk assessment","BC Centre for Disease Control","May 21, 2020"
"BC138","British Columbia","Closures/openings","Recreation","Amended order on restricting mass gatherings to include outdoor drive-in events with more than 50 vehicles; details in scan","Government of British Columbia","May 22, 2020"
"BC152","British Columbia","Health workforce","Safety guidelines","Guidance for safe reopening of in-person community care for occupational therapists published","College of Occupational Therapists of British Columbia","May 22, 2020"
"BC494","British Columbia","Closures/openings","Recreation","Overnight camps for children and youth banned","Ministry of Health","May 29, 2020"
"BC131","British Columbia","Closures/openings","Education","Schools reopened at reduced capacity","Government of British Columbia, Ministry of Education, Ministry of Children and Family Development","June  1, 2020"
"BC140","British Columbia","Closures/openings","Recreation","Provincial park campgrounds and recreation sites opened","Government of British Columbia","June  1, 2020"
"BC209","British Columbia","Health workforce","Supply management","Pandemic pay for health and social service workers delivering in-person, front-line care announced","Government of British Columbia","June  1, 2020"
"CAN120","Canada","Closures/openings","Recreation","National parks and other national sites reopened for limited services and operations","Parks Canada","June  1, 2020"
"BC143","British Columbia","Travel","Restrictions","Ferry service between Nanaimo and Vancouver resumed","BC Ferries","June  3, 2020"
"CAN131","Canada","Public information","Masks","Mandatory use of face coverings for transportation sector workers announced","Transport Canada","June  4, 2020"
"CAN132","Canada","Travel","Restrictions","Travel restrictions on foreign nationals with immediate family in Canada relaxed","Canada Border Services Agency","June  9, 2020"
"BC501","British Columbia","Closures/openings","Non-essential services","Order regarding food/drink serving establishments amended (e.g., owners to determine max. patrons/staff premises can accommodate with distancing); details in scan","Ministry of Health","June 10, 2020"
"BC502","British Columbia","Closures/openings","Non-essential services","Nightclubs permitted to open under the same conditions as bars or restaurants","Ministry of Health","June 10, 2020"
"CAN139","Canada","Health workforce","Licence reinstatement/reclassification","Maintenance of certification requirements waived for physician assistants","Canadian Association of Physician Assistants","June 12, 2020"
"BC190","British Columbia","Health workforce","Safety guidelines","Guidelines for physiotherapists for point-of-care risk assessment issued","College of Physical Therapists of British Columbia","June 17, 2020"
"CAN136","Canada","Case management","Contact tracing","Launch of national contact tracing app announced","Prime Minister","June 18, 2020"
"BC163","British Columbia","Health workforce","Change in practice","Guidance for disclosure and COVID-19 contact tracing for psychologists","College of Psychologists of British Columbia","June 19, 2020"
"BC504","British Columbia","Closures/openings","Non-essential services","Order regarding restaurants and pubs amended; details in scan","Ministry of Health","June 22, 2020"
"BC167","British Columbia","Public information","Phase and alert level changes","All regions entered Phase 3 of reopening plan","Government of British Columbia","June 24, 2020"
"BC179","British Columbia","Distancing","Gatherings","Household bubbles permitted to expand, with recommendation to limit out-of-bubble gatherings to 2 to 6 people","Government of British Columbia","June 24, 2020"
"BC173","British Columbia","Health services","Visitors","Visitation guidelines in long-term care and seniors’ residences relaxed to allow visits from 1 designated visitor in a visiting area","Government of British Columbia","June 30, 2020"
"CAN138","Canada","Case management","Other","Phase 1 of mandatory air traveller screening announced","Transport Canada","June 30, 2020"
"CAN130","Canada","Travel","Restrictions","Restriction on passenger vessels (except cruise ships) operating in inland rivers/lakes in N.W.T., Nun. and Y.T. lifted","Transport Canada","July  1, 2020"
"BC187","British Columbia","Health services","Telemedicine/virtual care","Telehealth guidelines for occupational therapists updated","College of Occupational Therapists of British Columbia","July  3, 2020"
"CAN146","Canada","Closures/openings","Non-essential services","Opening of Service Canada Centres announced","Employment and Social Development Canada","July  7, 2020"
"BC188","British Columbia","Health workforce","Safety guidelines","Guidelines for occupational therapists for point-of-care risk assessment issued","College of Occupational Therapists of British Columbia","July  8, 2020"
"CAN182","Canada","Health workforce","Safety guidelines","Creation of Essential Services Contingency Reserve that complements existing personal protective equipment support for front-line health care workers announced","Government of Canada","July 21, 2020"
"BC503","British Columbia","Closures/openings","Non-essential services","All premises that serve food/drinks must close dance floors, and patrons must be seated, must not sing, engage in karaoke or dance","Ministry of Health","July 23, 2020"
"BC189","British Columbia","Health workforce","Change in practice","Physicians permitted to conduct capacity assessment for medical assistance in dying","College of Physicians and Surgeons of British Columbia","July 24, 2020"
"BC177","British Columbia","Closures/openings","Education","B.C.'s Back to School Plan providing safety guidance for the upcoming school year released","Ministry of Education","July 29, 2020"
"CAN155","Canada","Travel","Restrictions","Restrictions and entry conditions for travellers transiting through Canada to Alaska announced","Canada Border Services Agency","July 31, 2020"
"BC180","British Columbia","Distancing","Gatherings","Event organizers ordered to limit all public gatherings larger than 50 people","Government of British Columbia","August  7, 2020"
"CAN165","Canada","Case management","Other","Canada’s Flight Plan for Navigating COVID-19, aimed at reducing risks of COVID-19 while travelling by aircraft, announced","Transport Canada","August 14, 2020"
"BC194","British Columbia","Closures/openings","Education","Operational guidelines updated to require mask use for staff and grade 6 to 12 students when distancing cannot be maintained","Ministry of Education","August 17, 2020"
"CAN168","Canada","Closures/openings","Education","$112 million in funding announced to support a safe return to elementary and secondary school on reserves","Indigenous Services Canada","August 26, 2020"
"CAN169","Canada","Closures/openings","Education","$2 billion in funding announced for provinces and territories through the Safe Return To Class Fund","Prime Minister","August 26, 2020"
"BC193","British Columbia","Case management","Contact tracing","Hiring of 500 additional health professionals to increase contact tracing announced","Ministry of Health","September  1, 2020"
"BC200","British Columbia","Closures/openings","Non-essential services","All nightclubs and stand-alone banquet halls closed","Ministry of Health","September  8, 2020"
"BC201","British Columbia","Closures/openings","Non-essential services","Liquor sales restricted after 10 p.m. at all bars, pubs and restaurants","Ministry of Health","September  8, 2020"
"BC203","British Columbia","Closures/openings","Education","Public schools opened for 1st day of in-person learning","Ministry of Health","September 10, 2020"
"CAN173","Canada","Case management","Other","Consistent approach for air carriers to collect and share passenger information for COVID-19 tracing announced","Transport Canada","September 11, 2020"
"BC205","British Columbia","Case management","Education","BC Centre for Disease Control website for the notification of school outbreaks, clusters, and/or exposure announced","Ministry of Health","September 16, 2020"
"BC206","British Columbia","Case management","Education","New coronavirus-testing system for K-12 students launched","Ministry of Health","September 17, 2020"
"CAN186","Canada","Case management","Other","Final phase of mandatory airport screening implemented","Transport Canada","September 23, 2020"
"CAN271","Canada","Vaccine","Purchasing and allocation","Signed an agreement to buy 20 million doses of the AstraZeneca COVID-19 vaccine","Prime Minister","September 25, 2020"
"CAN185","Canada","Case management","Other","Agreement to purchase 7.9 million rapid tests and 3,800 analysers from Abbott Rapid Diagnostics signed","Public Services and Procurement Canada","September 29, 2020"
"CAN192","Canada","Case management","Other","Agreement to purchase 20.5 million rapid tests from Abbott Rapid Diagnostics signed","Public Services and Procurement Canada","October  6, 2020"
"CAN188","Canada","Travel","Restrictions","Travel restrictions for certain extended family members of Canadian citizens and Canadian permanent residents eased","Immigration, Refugees and Citizenship Canada","October  8, 2020"
"CAN189","Canada","Travel","Restrictions","Travel restrictions for international students attending institutions with a COVID-19 readiness plan eased","Immigration, Refugees and Citizenship Canada","October 20, 2020"
"BC212","British Columbia","Distancing","Gatherings","Gatherings in private homes limited to immediate household plus 6 others","Government of British Columbia","October 26, 2020"
"BC213","British Columbia","Public information","Masks","Expectation that people will use face masks in all indoor public spaces announced","Government of British Columbia","October 26, 2020"
"CAN200","Canada","Case management","Contact tracing","COVID Alert app updated to send notifications based on a more precise timeline","Health Canada","October 30, 2020"
"CAN202","Canada","Travel","Self-isolation","Residents of border communities who need to cross the border to access necessities exempted from the mandatory 14-day quarantine rule","Public Safety Canada","October 31, 2020"
"CAN196","Canada","Travel","Self-isolation","Program launched to allow international travellers to leave quarantine provided they test negative upon arrival and retest 6 to 7 days after","Intergovernmental Affairs","November  2, 2020"
"BC215","British Columbia","Distancing","Gatherings","Gatherings in private homes prohibited (Fraser Health region)","Government of British Columbia","November  3, 2020"
"CAN206","Canada","Public information","Masks","Guidance on non-medical masks updated; recommend wearing a 3-layer mask with a middle, filter layer","Public Health Agency of Canada","November  3, 2020"
"CAN208","Canada","Case management","Other","Funding for First Nations to adapt community infrastructure for infection control measures announced","Indigenous Services Canada","November  6, 2020"
"BC216","British Columbia","Travel","Restrictions","Travel into and out of Vancouver Coastal Health and Fraser Health regions limited to essential travel only","Government of British Columbia","November  7, 2020"
"BC217","British Columbia","Distancing","Gatherings","Social gatherings outside core bubble prohibited (Vancouver Coastal Health, Fraser Health)","Government of British Columbia","November  7, 2020"
"BC220","British Columbia","Closures/openings","Recreation","Indoor recreational facilities closed (Vancouver Coastal Health, Fraser Health)","Government of British Columbia","November  7, 2020"
"CAN210","Canada","Case management","Other","Agreement to purchase 7.6 million rapid tests and 2,172 analysers from Benton, Dickson and Company signed","Public Services and Procurement Canada","November 10, 2020"
"CAN211","Canada","Health workforce","Supply management","$61.4 million in pandemic funding for Man. First Nations Provincial Coordination Response Team and First Nation organizations announced","Indigenous Services Canada","November 10, 2020"
"BC223","British Columbia","Travel","Restrictions","Travel advisory to minimize non-essential travel within or outside the province issued","Government of British Columbia","November 16, 2020"
"BC224","British Columbia","Health workforce","Change in practice","Language pathologists, occupational/physical therapists, dental hygienists, dietitians, audiologists, pharmacists may give COVID-19 tests","Government of British Columbia","November 16, 2020"
"BC227","British Columbia","Distancing","Gatherings","All social gatherings outside household bubbles prohibited","Ministry of Health","November 19, 2020"
"BC228","British Columbia","Public information","Masks","Mask use for indoor public settings mandated (12 years and older)","Minister of Public Safety and Solicitor General","November 19, 2020"
"BC230","British Columbia","Travel","Restrictions","Travel advisory against non-essential travel and recreational or social travel issued","Ministry of Health","November 20, 2020"
"CAN216","Canada","Case management","Other","Funding for Indigenous communities and organizations in Man., Alta. and Sask. for infection control measures announced","Indigenous Services Canada","November 20, 2020"
"CAN205","Canada","Travel","Self-isolation","Requirements for travellers to submit information pre- and post-arrival to Canada via ArriveCAN app or a toll-free number mandated","Public Health Agency of Canada","November 21, 2020"
"BC259","British Columbia","Health workforce","Supply management","New health workers hired to resume surgeries postponed due to COVID-19","Government of British Columbia","November 22, 2020"
"CAN219","Canada","Case management","Other","Funding for the Government of Nunavut, Inuit communities and Inuit organizations for infection control measures announced","Government of Canada","November 25, 2020"
"CAN223","Canada","Health services","Telemedicine/virtual care","Alberta Indigenous Virtual Care Clinic to deliver virtual health services launched","Indigenous Services Canada","December  1, 2020"
"BC234","British Columbia","Closures/openings","Recreation","Indoor fitness and team sports prohibited","Ministry of Health","December  2, 2020"
"CAN241","Canada","Health workforce","Supply management","$23.2 million in funding to develop and implement an accelerated program to train 4,000 new personal support worker interns announced","Government of Canada","December  4, 2020"
"CAN238","Canada","Vaccine","Purchasing and allocation","Agreement with Moderna to buy 20 million doses of its COVID-19 vaccine signed, bringing the total to 40 million doses","Government of Canada","December  7, 2020"
"BC250","British Columbia","Case management","Assessment centres","Interim guidance to support self-collection of specimens for COVID-19 diagnosis in settings without accessible health services released","BC Centre for Disease Control","December  8, 2020"
"BC226","British Columbia","Vaccine","Population to be vaccinated","Phase 1: long-term care/assisted living residents/staff/visitors; health workers caring for COVID-19 patients; remote Indigenous communities","Ministry of Health","December  9, 2020"
"BC236","British Columbia","Vaccine","Implementation plans and frameworks","COVID-19 Immunization Plan with 4 phases released; Phase 1 to start once vaccines are received","Ministry of Health","December  9, 2020"
"CAN221","Canada","Vaccine","Regulatory approval","Pfizer-BioNTech COVID-19 vaccine for use in people 16 years of age and older authorized","Health Canada","December  9, 2020"
"CAN222","Canada","Case management","Contact tracing","COVID Alert app updated","Health Canada","December 10, 2020"
"BC238","British Columbia","Closures/openings","Recreation","Guidelines for the resumption of low-intensity indoor group physical activity published","Ministry of Health","December 14, 2020"
"BC239","British Columbia","Vaccine","Purchasing and allocation","First shipment of approximately 4,000 doses of Pfizer vaccine received","Ministry of Health","December 14, 2020"
"BC225","British Columbia","Vaccine","Phase changes and milestones","1st COVID-19 vaccinations administered (start of Phase 1); 1st recipients were health care workers","Ministry of Health","December 15, 2020"
"CAN236","Canada","Vaccine","Population to be vaccinated","Priority populations for vaccination in accordance with National Advisory Committee on Immunization recommendations released","Public Health Agency of Canada","December 18, 2020"
"CAN228","Canada","Travel","Restrictions","Flights from the United Kingdom suspended","Public Health Agency of Canada","December 20, 2020"
"BC240","British Columbia","Closures/openings","Education","$242.4 million in funding to support B.C.'s K–12 COVID-19 response with new staff hires and personal protective equipment announced","Ministry of Education","December 21, 2020"
"CAN229","Canada","Vaccine","Regulatory approval","Moderna COVID-19 vaccine authorized for use in people 18 years of age and older","Health Canada","December 23, 2020"
"CAN231","Canada","Travel","Restrictions","Enhanced screening for travellers who have been in the United Kingdom or South Africa in the past 14 days announced","Public Health Agency of Canada","December 24, 2020"
"BC256","British Columbia","Vaccine","Purchasing and allocation","First shipment of Moderna vaccine received","Ministry of Health","December 29, 2020"
"BC281","British Columbia","Closures/openings","Non-essential services","Announced order for food/liquor-serving premises, retail establishments; guidance on social distancing, hygiene & other necessary provisions","Provincial Health Officer","December 30, 2020"
"BC252","British Columbia","Health workforce","Licence reinstatement/reclassification","Exemptions for the Professional Development and Assessment Program to expedite registration process granted","College of Pharmacists of British Columbia","December 31, 2020"
"BC355","British Columbia","Vaccine","Population to be vaccinated","3rd phase of vaccination announced to target 1) people age 79 to 60; 2) people age 69 to 16 who are clinically extremely vulnerable","Ministry of Health, BC Centre for Disease Control","January  2, 2021"
"BC408","British Columbia","Vaccine","Population to be vaccinated","4th phase of vaccination will target people age 59 to 18 in 5-year increments","Ministry of Health, BC Centre for Disease Control","January  2, 2021"
"BC248","British Columbia","Public information","Phase and alert level changes","Public alert for the Revelstoke region issued","Ministry of Health","January  5, 2021"
"BC335","British Columbia","Vaccine","Phase changes and milestones","Announced that immunization of the 1st remote First Nations communities is under way with the Moderna vaccine","Ministry of Health","January  7, 2021"
"CAN232","Canada","Travel","Restrictions","Requirement for mandatory negative COVID-19 test result for air passengers entering Canada announced","Transport Canada","January  7, 2021"
"BC280","British Columbia","Public information","Masks","Emergency Program Act mask mandate order updated (e.g., mask mandate in many indoor public settings & all retail stores, exceptions defined)","Minister of Public Safety and Solicitor General","January  8, 2021"
"CAN233","Canada","Vaccine","Phase changes and milestones","Vaccination of about 600 older, medically vulnerable federal inmates announced","Correctional Services of Canada","January  8, 2021"
"CAN240","Canada","Health workforce","Safety guidelines","Interim guidance for infection prevention and control in acute settings released","Government of Canada","January  8, 2021"
"CAN237","Canada","Vaccine","Purchasing and allocation","Agreement with Pfizer to buy 20 million doses of its COVID-19 vaccine signed, bringing the total to 76 million doses","Government of Canada","January 12, 2021"
"CAN239","Canada","Health workforce","Change in practice","Information on vaccine handling, storage and administration released","Government of Canada","January 12, 2021"
"CAN235","Canada","Case management","Other","Funding for the Indigenous Community Support Fund for community-led COVID-19 responses announced","Indigenous Services Canada","January 13, 2021"
"CAN245","Canada","Travel","Restrictions","Extended temporary travel restrictions for all non-US travellers, unless their travel is for non-discretionary reasons","Government of Canada","January 20, 2021"
"CAN246","Canada","Travel","Restrictions","Extended temporary travel restrictions for US travellers, unless their travel is for non-discretionary reasons","Government of Canada","January 20, 2021"
"BC261","British Columbia","Vaccine","Population to be vaccinated","Announced Phase 2 to target 80+, Indigenous seniors 65+, hospital staff, congregated settings, etc.; see scan for details","Ministry of Health","January 22, 2021"
"CAN252","Canada","Distancing","Work from home","Members of the House of Commons may participate in House proceedings either in person or by video conference","House of Commons","January 25, 2021"
"BC266","British Columbia","Health workforce","Change in practice","Approved revisions to "Scope of Practice for Registered Psychiatric Nurses" to allow RPNs to participate in vaccination program","BC College of Nurses and Midwives","January 28, 2021"
"CAN247","Canada","Travel","Restrictions","Suspended all flights to and from Mexico and Caribbean countries","Transport Canada","January 31, 2021"
"CAN253","Canada","Public information","Masks","Mask mandate for any person in the House of Commons announced (e.g., members and their staff, political research office staff, etc.)","House of Commons","February  1, 2021"
"CAN264","Canada","Travel","Restrictions","Announced that all international passenger flights must land either at the Vancouver, Calgary, Toronto or Montréal airports","Prime Minister","February  1, 2021"
"BC271","British Columbia","Closures/openings","Recreation","Guidelines released for health care professionals working with children and youth about physical activity following COVID-19 infection","Ministry of Health, BC Centre for Disease Control","February  4, 2021"
"BC274","British Columbia","Closures/openings","Education","Updated guidelines for K–12 schools (e.g., mask mandate for students); school authorities to confirm completion of checklist & safety plans","Ministry of Education","February  4, 2021"
"BC276","British Columbia","Case management","Education","Guidelines for K–12 schools updated with new response measures (e.g., rapid response teams to conduct physical or virtual site inspections)","Ministry of Health, BC Centre for Disease Control","February  4, 2021"
